id,AR_usage,Country,Order_size,Payment_method,New_customers,Old_customers_tenure,Product_return,Channel,Order_day,Order_hour
1,0,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,1
2,1,NL,-0.658724289,ideal,1,-0.693841827,0,Paid Search Branded,4,1
3,0,NL,-1.322864203,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,1
4,0,NL,0.062853192,ideal,0,-0.261269042,0,Paid Search Branded,4,1
5,1,NL,1.563734354,ideal,0,-0.350179234,1,Organic Search,4,4
6,0,NL,-0.456682594,ideal,1,-0.693841827,0,Direct Access,4,7
7,0,NL,-0.052599205,ideal,1,-0.693841827,0,Paid Search Branded,4,7
8,0,NL,1.852365347,visa,0,2.444564491,0,Campaigning,4,7
9,1,NL,0.12029076,ideal,1,-0.693841827,0,Direct Access,4,7
10,0,NL,1.852365347,visa,0,2.444564491,0,Campaigning,4,7
11,0,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,4,8
12,1,NL,-0.832191516,ideal,1,-0.693841827,0,Paid Search Branded,4,8
13,0,NL,0.293469356,ideal,1,-0.693841827,0,Direct Access,4,8
14,0,NL,0.062853192,ideal,1,-0.693841827,0,Paid Search Branded,4,8
15,0,NL,2.11213324,ideal,1,-0.693841827,1,Paid Search Branded,4,8
16,0,NL,-0.2257778,visa,0,0.109190095,0,Organic Search,4,9
17,1,NL,0.120002129,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,9
18,1,NL,1.708049851,ideal,1,-0.693841827,0,Paid Search Branded,4,9
19,0,NL,0.120579391,ideal,1,-0.693841827,0,Paid Search Branded,4,9
20,1,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,4,9
21,0,NL,-0.2257778,visa,0,0.62190554,0,Paid Social,4,9
22,1,NL,-0.889917714,ideal,1,-0.693841827,0,Paid Search Branded,4,9
23,0,NL,0.051019322,ideal,0,-0.246450676,1,Paid Search Branded,4,9
24,0,NL,1.592308822,ideal,0,2.026686585,0,Paid Search Branded,4,9
25,1,NL,-0.196914701,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,9
26,1,NL,-1.03394458,ideal,1,-0.693841827,0,Organic Search,4,9
27,0,NL,-0.637942858,visa,1,-0.693841827,0,Affiliate,4,9
28,0,NL,0.120579391,ideal,1,-0.693841827,0,Organic Search,4,9
29,0,BE,-1.178837338,visa,1,-0.693841827,0,Paid Search Non-Branded,4,9
30,0,NL,-0.889629083,visa,1,-0.693841827,0,Direct Access,4,10
31,0,NL,-0.023736105,ideal,1,-0.693841827,0,Paid Search Branded,4,10
32,0,NL,-0.485545694,ideal,1,-0.693841827,0,Direct Access,4,10
33,0,NL,-0.312367098,ideal,0,-0.113085387,0,Paid Search Branded,4,10
34,0,NL,-0.543849154,ideal,0,-0.332397196,0,Organic Search,4,10
35,0,NL,-0.774465317,ideal,1,-0.693841827,0,Paid Search Branded,4,10
36,1,NL,1.852365347,visa,0,2.269707779,0,Paid Search Branded,4,10
37,0,NL,-0.196914701,visa,0,0.052880306,0,Direct Access,4,10
38,0,NL,-0.889917714,ideal,0,-0.284978426,0,Direct Access,4,10
39,1,NL,1.101636135,ideal,0,-0.302760465,0,Paid Search Branded,4,11
40,1,NL,0.351484185,ideal,0,1.202785466,0,Paid Search Branded,4,11
41,0,NL,-1.03394458,ideal,1,-0.693841827,0,Paid Search Branded,4,11
42,0,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,4,11
43,0,NL,0.120579391,ideal,0,2.554220396,0,Paid Search Branded,4,11
44,1,NL,-0.2257778,ideal,0,1.1109116,0,Paid Search Branded,4,11
45,1,NL,-0.918492183,ideal,0,-0.353142908,0,Direct Access,4,11
